"cod_capacidad","nombre","descripcion"
1,"Generación de Recetas Electrónicas","Permite emitir recetas digitales directamente desde la HCE."
2,"Generación de Prescripciones","Permite generar prescripciones de tratamientos o medicamentos."
3,"Portal del Paciente Vinculado","Ofrece acceso al paciente a través de un portal online."
4,"Uso de Terminología SNOMED CT","Utiliza la codificación estandarizada SNOMED CT."
5,"Interoperabilidad con Farmacias","Las recetas digitales pueden ser utilizadas en farmacias."
6,"Firma Digital Integrada","Permite firmar digitalmente documentos médicos."
7,"Interoperabilidad con Prepagas","La HCE se conecta con sistemas de medicina prepaga."
8,"Interoperabilidad con Obras Sociales","Conecta con obras sociales para validación de cobertura."
9,"Consulta de Antecedentes Médicos","Permite revisar antecedentes clínicos del paciente."
10,"Integración con Laboratorios","Conecta con laboratorios para ver resultados automáticamente."
11,"Acceso Multidispositivo (Web/Móvil)","La HCE está disponible tanto en computadoras como en móviles."
12,"Registro de Vacunación","Permite registrar y consultar vacunas aplicadas."
13,"Gestión de Turnos","Permite solicitar y administrar turnos médicos."
14,"Interfaz Profesional","Dispone de una interfaz específica para profesionales de salud."
15,"Visualización de Imágenes Médicas","Permite ver radiografías, resonancias y otros estudios desde la HCE."
